trial_id,child_plan_id,dataset_id,benchmark,task_id,task_name,split,capture_profile,canonical_family_id,candidate_position,pool,pool_position,cell_id,replicate_id,layout_seed_identity,layout_seed,reset_seed_identity,reset_seed,environment_seed_identity,environment_seed,policy_seed_identity,policy_seed,flow_noise_seed_identity,flow_noise_seed,layout_id,seed
rq024-foundation-03-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,60,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,test_confirmation_baseline,rollout,60place_inblack_bowl[initial=left]tray[region=contain],3,confirmation,1,untouched_baseline,1,sha256:99ca18a2ec408c00ce0fd5feffd7fb88bf85bd04427c404cade53daf386b2c3b,2580158626,sha256:9696e392744fa3404e9dc8e72d05e3e221e3fde5f9db62f87e56d529f9937b63,2526471058,sha256:d67732f1064273178f28c8c81a88e932f1cd0ba645fd6f386aa4460b656c67db,3598136049,sha256:78e81fc7c15d1ff49521671b234dd639798f242b69e507b1de3e41e48a2447b5,2028478407,sha256:289817f3113b0fc31b3007821a80870931f58150ec026df87b9b10005199f518,681056243,26,2526471058
rq024-foundation-03-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,60,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,test_confirmation_baseline,rollout,60place_inblack_bowl[initial=left]tray[region=contain],3,confirmation,1,untouched_baseline,2,sha256:dd14287ba158e9fb0bbea8539ef10902f700e3b3a1e04190602f5f9f14c11170,3709085819,sha256:623f4ee59f81b21fb347f103e0d5d522e6a7c11f0a9dfd25b8b8da6b17ec49f6,1648316133,sha256:7eea33d5e72203a34b9ce4af233799dd7eace6fcf1d83a48f12bbb8287976c3c,2129277909,sha256:3c114157c92e9acf90ba97b26e58698222c2ffef1f64dffdff66d91ed3615f11,1007763799,sha256:1d8f306f1cb45b9183c6e54d0186a7c58437ac80b042d336223da90166d49c3c,495923311,19,1648316133
rq024-foundation-04-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,20,KITCHEN_SCENE3_turn_on_the_stove,train_discovery_baseline,rollout,20turn_onstove,4,discovery,2,untouched_baseline,0,sha256:681520b51942d82456404765210695a88d56db41a0221371f9e603d947ac7585,1746215093,sha256:5a3de60b28517a69ddf847362bb8febf8903eb9d20e8cf9db832837fbc5889dd,1514006027,sha256:f004800374d375b8b9b05f9a968aeec13792f97023e4f57a5c04869a083e4adc,4026826755,sha256:8e59c69edf678b02e2051142fafc9add7ebcb48e6b4bb1ce610cd8e4702ec2ec,2388248222,sha256:c93fda7b41c2ba7d408f03e4eaa8f81887c2a8277de81e45efed9d05bfb68037,3376405115,43,1514006027
rq024-foundation-04-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,20,KITCHEN_SCENE3_turn_on_the_stove,train_discovery_baseline,rollout,20turn_onstove,4,discovery,2,untouched_baseline,1,sha256:d5e031231542d3dd26a5741d734cf75a2f6ec31cbe57e95721f565de84eb03ce,3588239651,sha256:0bd4a364138bba6c716d242ecd725963c689b555832703b34173e7f7c6a51f2a,198484836,sha256:b93a64d7b9dbb55701fedc63d2c2386260c6c1b811bb9f10b616d0dca830d476,3107611863,sha256:595441ca5bc2a9398b49d1f3c7410855a76f1db5e61ed01d246503f9ddc2b42c,1498694090,sha256:da839be9a780da9fbd953a57baae9880184f1a36bc8861db7be5e77ebd13ae89,3666058217,1,198484836
rq024-foundation-04-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,20,KITCHEN_SCENE3_turn_on_the_stove,train_discovery_baseline,rollout,20turn_onstove,4,discovery,2,untouched_baseline,2,sha256:d097566161d9df010b1abb7943f43a06641de59268d35f0263c4bbce68964394,3499578977,sha256:820b2784c0ae3bd4b3c43b9316a2a959e38222ec0f8bb7d7ef3c3e28df31cc51,2181769092,sha256:ddf1ab87b64aaa4bd351391f1546868e62dac8f6795e0878273b683de7e0f356,3723602823,sha256:a497ad26f248a5b4543aa3400c61985dae2f2a5a433b748c09da8f260a0b1210,2761403686,sha256:6b0c723df828aeb7ab753c27e5897237486555ae98471fcf9a7fde08b1be62d8,1795977789,27,2181769092
rq024-foundation-05-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,47,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,test_confirmation_baseline,rollout,47place_incream_cheesebasket[region=contain],5,confirmation,2,untouched_baseline,0,sha256:c7ed4f02b0d0602bc2ab71a00ca4d0efb227bfeefa0cdbd2c1cdedba4cc8980a,3354218242,sha256:cde40a06192ab90f32f66773f4048eedf680be546c677e131e5053fdeb21c805,3454274054,sha256:d4f73c4acf49bc5c71abfefb103a08e0be352fde915c03779305c131db6422b5,3572972618,sha256:e45bb358043fa08bc4d45232433db7ff32797b33e3899b8ebe3255bbe2e126f5,3831214936,sha256:e991722469f5194d28581639b4469453dcf92d5fcd1a8bb4ebea2d73d81b9e99,3918623268,42,3454274054
rq024-foundation-05-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,47,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,test_confirmation_baseline,rollout,47place_incream_cheesebasket[region=contain],5,confirmation,2,untouched_baseline,1,sha256:279a4a0a3d9bcb10440e5c8e5bfb306d033d7c20e9d1f4f7d2477e1a926d2c19,664422922,sha256:563c125f154ba225d4f3cce0840a8e418a6a0a101eb68e6dc6b8f6b8502a42a5,1446777439,sha256:7106edd7b1348845c8513015cf6a0f89f9765ad9b713afd555896048d736bba8,1896279511,sha256:c4b76b04aa118ead0d19e47a85133cc7687f127fd9ddd749fc91d39b9f7a0f01,3300354820,sha256:ee349348ffa523531ce12bc395623d05804dd95f02ec1d038244686f4580d607,3996422984,22,1446777439
rq024-foundation-05-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,47,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,test_confirmation_baseline,rollout,47place_incream_cheesebasket[region=contain],5,confirmation,2,untouched_baseline,2,sha256:ce98f82420b6863f7fca7ef4bea9171187ded762d95e385028a9f2ccdc4eb379,3466131492,sha256:310664c2186072916785c593e59acc0bee92404807cc1743e19729c34dbe1b4b,822502594,sha256:f6252997028b4dc5bd9b108ef062c922932de015d566f1dfb94e202a461825dc,4129630615,sha256:265cb2868ba06e0e6ca1aebb36d941daa8d14ebbb98feec94db9714c68f8cd3e,643609222,sha256:6257b7ceec9f4b17988d5d2464583d775d55a0fdf9bf643fea5250306e2555e6,1649915854,42,822502594
rq024-foundation-06-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,50,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,train_discovery_baseline,rollout,50place_inalphabet_soupbasket[region=contain],6,discovery,3,untouched_baseline,0,sha256:6a7e0db573287ff83fc9e0df8b95f5438d0c197b183da4312243277d6696facf,1786645941,sha256:2720f362825acdea5324a8b6e5593b14b9a4d4e6c10faed1c26bb87710d3b992,656470882,sha256:49c1f169081cfa04848fdb233d9213de7c78785a62c7f22b9e80389b09a72f3a,1237447017,sha256:8cb03c15037340203a378224b2af16ec0268c35e99d4d80b1b62a246b8da6ee0,2360359957,sha256:844185937fdfaf17702dc82fc1b33f0cd3fb4e9147d6d34c0d537eca3c260c51,2218886547,41,656470882
rq024-foundation-06-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,50,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,train_discovery_baseline,rollout,50place_inalphabet_soupbasket[region=contain],6,discovery,3,untouched_baseline,1,sha256:bd44e92cc6208c2119c4e7910d7d3ace5771514c81b136a679b9b0d9717e522c,3175409964,sha256:3338fce02338a3b252da6474994e3f2c52feaeb8ae058d9913372b69cc35a227,859372768,sha256:84ec48262412ebc9637eda2dd0bced918dcf6790be45e2762adb0ea986996d4c,2230077478,sha256:25279d476b9ed10d088689d74f7939b1168f1e1ce3f1a6d603ca86f8fdf75fb2,623353159,sha256:6bb5e8ad906a6afd9e46cf2f33f5f608069b9581a0f27d33cf82313e3010cd7f,1807083693,14,859372768
rq024-foundation-06-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,50,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,train_discovery_baseline,rollout,50place_inalphabet_soupbasket[region=contain],6,discovery,3,untouched_baseline,2,sha256:a7f24fe6341675b0457f09a2889c53d9ef8d33382f71f1eb09927a02a4551aa2,2817675238,sha256:54b28994a04eb51d741717fc6a38e8975c795dee6df9af99203e1e12b0f9a3af,1420986772,sha256:f2f8eb1ffbc7a455073d0e349cb44b864556808e98e2140c9d6e87883aa1e38e,4076399391,sha256:ca1b9b107f4994bdf4ca7c8aa4b8191f8c9460044a8d13767251a7d1a6ee4878,3390806800,sha256:bcbf1ba6c9a1fdd70b4f1cc0fc106a5ff350a1a810d944f45cca5d16796e7483,3166641062,38,1420986772
rq024-foundation-07-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,87,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,test_confirmation_baseline,rollout,87place_onbook[initial=left]shelf[region=top_side],7,confirmation,3,untouched_baseline,0,sha256:2a4666fecad9d5827b6a166836c2523f0786b55db57354f5993715ce12b77067,709256958,sha256:e71ab12598b98cb6c09bd977bf9799dfa1b155376e9f1faa95878635f17af92f,3877286181,sha256:160bec641f4c740671408f059fa4a38c04921ffb371de44a2f22c5ef69d2047f,369880164,sha256:20155f30797e1ecee91fd3ea8a7d1d063f4f5f13f4556ab6e73661b8512fa4c8,538271536,sha256:1ad149fd21f7c34de4b6974dbebbeb55ff82fe712a4ee9c5811013167bf9486e,449923581,8,3877286181
rq024-foundation-07-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,87,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,test_confirmation_baseline,rollout,87place_onbook[initial=left]shelf[region=top_side],7,confirmation,3,untouched_baseline,1,sha256:ca5b2e3ebf664544c4530e21f35084805cc32b1b387eb24468ccf7f7a7f34ce4,3394973246,sha256:ad02359cc8be200062708673c5ecbca8d3ef7b6a9c0e6e38ec827374f6f370b7,2902603164,sha256:c7ccdb2949af245871b5688b6595eca1b37b892d0ce83dc6d8f005b5abe198fe,3352091433,sha256:9ccf0c84f754da8686b40c891a1bec028e6019e962defc40ab7eee0612994c24,2630814852,sha256:55d297eb78b3d36c4f50b508cacd3c8578bbff9e900feaefc62d36a4e92c8bbc,1439864811,46,2902603164
rq024-foundation-07-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,87,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,test_confirmation_baseline,rollout,87place_onbook[initial=left]shelf[region=top_side],7,confirmation,3,untouched_baseline,2,sha256:e4f5d8be70dd6b5facd404a6cf86147aec81fe4ca6c963c211c5113d93edbe8e,3841317054,sha256:d600772fccc2d0f915d7dd595ee06a9dbaf509ab348979b897703909d0051902,3590354735,sha256:644ea963aaf0e35ccce993e6d517bf67c38ae89098c7eab25b4a58c3eb564c7c,1682876771,sha256:2266525a96284f6e1d86ee1a50115578178bc1f0b4e93f02269a94b7e4cf0e3f,577131098,sha256:50225a02423988a5dd131b56ad2b7d5bdd5176b83f24695e522b5d02769761dd,1344428546,4,3590354735
rq024-foundation-08-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,36,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,train_discovery_baseline,rollout,36place_onwhite_bowlplate,8,discovery,4,untouched_baseline,0,sha256:080b76afe961321c84e54a7a2339afbddb6ba47d891d64dabc218334b046b178,134969007,sha256:3c94fc07c23630e682c191457ebbcee9c56c502fb8c18f4869534b7d7783d24c,1016396807,sha256:9e85c56cb40a02dcfdf4b269b9747d5c8584d78eb64b61be11e7ecbb0424b756,2659566956,sha256:82247aa1331b6d02699352cff2f365fc67ec221f568ec6b2fbba783c6f1351e7,2183428769,sha256:e61672f4f2dbf479dc1b7235dc342b8015ee1f7ed65329f44858ac22ca7c72ca,3860230900,7,1016396807
rq024-foundation-08-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,36,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,train_discovery_baseline,rollout,36place_onwhite_bowlplate,8,discovery,4,untouched_baseline,1,sha256:da087e0661515d2b0544d2beb402cbd9756cbec5bdedd63ecc7e31450722cea8,3657989638,sha256:a9feaaed179ad2a2bfcd176abc197b3cd90f85e4b078b179ddf335f7fe35be85,2852039405,sha256:87641b84aca679877f2364f64ba7f7c05602c113061e7b7dadc08ea9071d85f0,2271484804,sha256:15cd68ca2d5a5b3f164dfa7092a5a56ba2d156a55b3fbf586cc32eeecc09de34,365783242,sha256:58dede63d1cb395319c77ef71d90fd196ab6f58648177a72e116732a9ccb7464,1491000931,38,2852039405
rq024-foundation-08-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,36,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,train_discovery_baseline,rollout,36place_onwhite_bowlplate,8,discovery,4,untouched_baseline,2,sha256:977e06db6401f409fa7f46dab1dd4ff124c556ae102be127e48b693a6f532f18,2541618907,sha256:a9e0646492ffc534660b1b75f90442636299d0384906e4d2f6b11e57a2d3f576,2850055268,sha256:c6189503845d54a3ad42d6dc1f3e11af381f68bc664099387b16e809a2be023f,3323499779,sha256:f1ccec79ea09791f131b422d258c3d955e3bb64662c264b7f7bf87d71f0011e6,4056738937,sha256:bde417ca9218670a66cdbbd5d82d63b8b6a2857390c65a701dbea6727a53d7d2,3185842122,7,2850055268
rq024-foundation-09-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,74,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,test_confirmation_baseline,rollout,74place_inbookcaddy[region=left_contain],9,confirmation,4,untouched_baseline,0,sha256:8db759b4f5e1735cc026ce44568289773d794341d5fcd7153908408de86332e7,2377603508,sha256:6db791136fde6ce1b33f3e453432f2aabf63f398efb97c633cb3f77b25d4826b,1840746771,sha256:c63b88ad0fb1afbad5ca3d0c8d8467a2b332595b09bcfea69dfdd632ffa078a3,3325790381,sha256:26f8aff9fd5018ad80ee5eb3594e04c7ea727fb6857c77e1b71aa5007272c968,653832185,sha256:9e9cb90fbc3476de713d877f8b92e6cdef8f78a5d254a240c345c2f060cedc87,2661071119,8,1840746771
rq024-foundation-09-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,74,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,test_confirmation_baseline,rollout,74place_inbookcaddy[region=left_contain],9,confirmation,4,untouched_baseline,1,sha256:5d778748ba41fe50be202e08035620fe8110811d00dcd3e6cfd8581b1d44305f,1568114504,sha256:0b4310a3ab1b39a1c6bd9749fad5a3ec1120838bd6e2510eefb6854c0aa9c2c1,188944547,sha256:67bb03fa9692eab0059e24ae8737a64b6175afcd70af314332444785aacb6686,1740309498,sha256:10af1aa80c9115c0b22162b0acc8e9a96273cc37377e590fe7938107b34795a0,279911080,sha256:aef9400f1675fbafaa0bf1f2f2a730f345e2f85d2809de0b929b13192047ab69,2935570447,4,188944547
rq024-foundation-09-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,74,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,test_confirmation_baseline,rollout,74place_inbookcaddy[region=left_contain],9,confirmation,4,untouched_baseline,2,sha256:09cf53c4f074a03f5e9de252991498a4289344a5f6c17318617e8978f5b043ab,164582340,sha256:01fcdad3911987d56d20ed49e42d456587294c4a7ea157ec9a178f3f7e00c89a,33348307,sha256:76376dd3213596e9c747057f157581676d04c4068c9d64f1323efec4b64b0d1a,1983344083,sha256:00b40bb2216f05cc7de932479467cbd84e29d916d0e8a992505af61f283da234,11799474,sha256:89323ac93c143811ff40e5a4f69ad7cf1bb3d209ad4c7483eb0228c876039fea,2301770441,40,33348307
rq024-foundation-10-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,35,KITCHEN_SCENE7_open_the_microwave,train_discovery_baseline,rollout,35openmicrowave,10,discovery,5,untouched_baseline,0,sha256:65afb491f18554aa37b022f358ff6b94035910ff3dd759be02eb5e3a62013870,1706013841,sha256:349699288a03ab8340add674730f58d37f0c63df6b6b3e26a0df0c719eee6ae7,882284840,sha256:0e16c1562a10ff651bf874acf576706c4135f436a541b41c8ae396ab47247678,236372310,sha256:49aa62984f8f4df58681407e6cefcbb79b453688788a5815d66391214969dd1d,1235903128,sha256:96308f9740f57444999c8c7a95e5464b4888df6d31ef916d6d9a15572db8d238,2519764887,41,882284840
rq024-foundation-10-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,35,KITCHEN_SCENE7_open_the_microwave,train_discovery_baseline,rollout,35openmicrowave,10,discovery,5,untouched_baseline,1,sha256:3198c5ea3e8d015b71dfc9603c27e5acc52fe1eac4f7fe6646cf31f6c3f49c18,832095722,sha256:dd1704bef757a0f3389b26fe57528d48014be3c101cd6f887bb2250ea5e4b80e,3709273278,sha256:30cff1a52ed822a4fae0597cb5c9f46eb102604fd2f108f5acce4549db176135,818934181,sha256:4472a0040463dddb8a10b84e24b0d7d3e85427d19eddb9b985a21c9c6a56842b,1148362756,sha256:122147759e8899aabf2579a7eb043a8fae8787f4c08f70dc6a90fa466854fbea,304170869,22,3709273278
rq024-foundation-10-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,35,KITCHEN_SCENE7_open_the_microwave,train_discovery_baseline,rollout,35openmicrowave,10,discovery,5,untouched_baseline,2,sha256:d1db0b880f85bd552cc0c24121558b71587be2f5fc4668a300f0f35ece80a551,3520793480,sha256:61c20630a64d55e2f0d309c858d02f141cfd8cd7b891f1752b08fcc3e4d938ad,1640105520,sha256:07474b403fac3b1b42dfcff0f57b190e522468d9e85de5f5254541f6e788e4ff,122112832,sha256:97a5de741f29bdc9eb0adee4bc37d97fac6df819eea0c8317c67ca6675966e1b,2544230004,sha256:90d44d360388185ba017c853f8e606cafea6d14b0500a04bbed3bdc2caceb69c,2429832502,30,1640105520
rq024-foundation-11-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,41,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,test_confirmation_baseline,rollout,41place_onfrying_panshelf[region=top_side],11,confirmation,5,untouched_baseline,0,sha256:fcbfa2fa024cd8116dded7142f547f93641c29f2c01eb661797094f66b53baa5,4240417530,sha256:416da078aa59ddff7d09b591cd7bc082c75528b85fd8abd37e36b5fd26fd1bf7,1097703544,sha256:f0b1af3f0552e96d84f23b45ba6bbcc8e64b4f0bd1f54f7361a46f9c74f1c6db,4038176575,sha256:ac51ca94a5d7ab946f61987aa81ae092b34491195e7482522f2ccbe633129ede,2891041428,sha256:f1dae56947bbfd25d7c8ce3ffc8c09dcc02b4284878781ab940ed7de509fd6ed,4057654633,30,1097703544
